Link,University Name,Nickname,Founded,Location,Division,Specialization,Ph.d Granting,TypePublic
http://bau.edu.bd,Bangladesh Agricultural University[7],BAU,1961,Mymensingh,Mymensingh division,Agricultural Science,Yes,Public
https://bsmrau.edu.bd,Bangabandhu Sheikh Mujibur Rahman Agricultural University[8],BSMRAU,1998,Gazipur,Dhaka division,Agricultural Science,Yes,Public
http://sau.edu.bd,Sher-e-Bangla Agricultural University[9],SAU,2001,Dhaka,Dhaka division,Agricultural Science,Yes,Public
http://www.cvasu.ac.bd,Chittagong Veterinary and Animal Sciences University[10],CVASU,2006,Chittagong,Chittagong division,Veterinary Science,Yes,Public
http://sau.ac.bd,Sylhet Agricultural University[11],SAU,2006,Sylhet,Sylhet division,Agricultural Science,Yes,Public
http://kau.edu.bd,Khulna Agricultural University[12],KAU,2019,Khulna,Khulna division,Agricultural science,Yes,Public
https://en.m.wikipedia.org/wiki/Habiganj_Agricultural_University,Habiganj Agricultural University,HAU,2020,Habiganj,Sylhet division,Agricultural science,Yes,Public
http://buet.ac.bd,Bangladesh University of Engineering & Technology[13],BUET,1962,Dhaka,Dhaka division,Engineering,Yes,Public
http://www.cuet.ac.bd,Chittagong University of Engineering & Technology[14],CUET,2003,Chittagong,Chittagong division,Engineering,Yes,Public
http://www.ruet.ac.bd,Rajshahi University of Engineering & Technology[15],RUET,2003,Rajshahi,Rajshahi division,Engineering,Yes,Public
http://kuet.ac.bd,Khulna University of Engineering & Technology[16],KUET,2003,Khulna,Khulna division,Engineering,Yes,Public
http://duet.ac.bd,Dhaka University of Engineering & Technology[17],DUET,2003,Gazipur,Dhaka division,Engineering,Yes,Public
https://du.ac.bd/,University of Dhaka[18],DU,1921,Dhaka,Dhaka division,General,Yes,Public
http://www.ru.ac.bd/,University of Rajshahi[19],RU,1953,Rajshahi,Rajshahi division,General,Yes,Public
http://cu.ac.bd,University of Chittagong[20],CU,1966,Chittagong,Chittagong division,General,Yes,Public
http://www.juniv.edu/,Jahangirnagar University[21],JU,1970,Savar, Dhaka,Dhaka division,General,Yes,Public
http://iu.ac.bd,Islamic University, Bangladesh[22],IU,1979,Kushtia,Khulna division,General, Theological, STEM,Yes,Public
http://ku.ac.bd,Khulna University[23],KU,1991,Khulna,Khulna division,General,Yes,Public
http://jnu.ac.bd,Jagannath University[24],JnU,2005,Dhaka,Dhaka division,General,Yes,Public
http://jkkniu.edu.bd,Jatiya Kabi Kazi Nazrul Islam University[25],JKKNIU,2006,Mymensingh,Mymensingh division,General,Yes,Public
http://cou.ac.bd,Comilla University[26],CoU,2006,Comilla,Chittagong division,General,Yes,Public
http://brur.ac.bd,Begum Rokeya University[27],BRU,2008,Rangpur,Rangpur division,General,Yes,Public
http://bup.edu.bd,Bangladesh University of Professionals,BUP,2008,Dhaka,Dhaka division,General,Yes,Public
http://www.barisaluniv.edu.bd,University of Barisal,BU,2011,Barisal,Barisal division,General,Yes,Public
https://www.rub.ac.bd,Rabindra University, Bangladesh[28],RUB,2017,Sirajganj,Rajshahi division,General,Yes,Public
http://shu.edu.bd/,Sheikh Hasina University[29],SHU,2018,Netrokona,Mymensingh division,General,Yes,Public
No Link,Bangabandhu Sheikh Mujibur Rahman University,BSMRU,2020,Kishoreganj,Dhaka division,General,Yes,Public
http://bsmmu.edu.bd,Bangabandhu Sheikh Mujib Medical University,BSMMU,1998,Dhaka,,Medical,No,Public
http://Website,Rajshahi Medical University,RMU,2017,Rajshahi,,Medical,No,Public
https://cmu.edu.bd,Chittagong Medical University,CMU,2017,Chittagong,,Medical,No,Public
No Link,Sylhet Medical University,CMU,2018,Sylhet,,Medical,No,Public
http://Website,Sheikh Hasina Medical University,SHMU,2020,Khulna,,Medical,No,Public
http://www.sust.edu,Shahjalal University of Science and Technology[30],SUST,1986,Sylhet,Sylhet division,STEM,Yes,Public
http://hstu.ac.bd,Hajee Mohammad Danesh Science & Technology University[31],HSTU,1999,Dinajpur,Rangpur division,STEM,Yes,Public
http://mbstu.ac.bd,Mawlana Bhashani Science and Technology University[32],MBSTU,1999,Tangail,Dhaka division,STEM,Yes,Public
http://pstu.ac.bd,Patuakhali Science and Technology University[33],PSTU,2000,Patuakhali,Barisal division,STEM,Yes,Public
http://nstu.edu.bd,Noakhali Science and Technology University[34],NSTU,2006,Noakhali,Chittagong division,STEM,Yes,Public
http://just.edu.bd,Jashore University of Science and Technology[35],JUST,2007,Jessore,Khulna division,STEM,Yes,Public
http://www.pust.ac.bd/,Pabna University of Science and Technology[36],PUST,2008,Pabna,Rajshahi division,STEM,Yes,Public
http:///www.bsmrstu.edu.bd,Bangabandhu Sheikh Mujibur Rahman Science and Technology University[37],BSMRSTU,2011,Gopalganj,Dhaka division,STEM,Yes,Public
http://rmstu.edu.bd,Rangamati Science and Technology University[38],RMSTU,2014,Rangamati,Chittagong division,STEM,Yes,Public
http://bsfmstu.ac.bd//,Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University[39],BSFMSTU,2018,Jamalpur,Mymensingh division,STEM,Yes,Public
No Link,Chandpur Science and Technology University,CSTU,2020,Chandpur,Chittagong division,STEM,Yes,Public
https://en.m.wikipedia.org/wiki/Sunamganj_Science_and_Technology_University,Sunamganj Science and Technology University[40],SSTU,2020,Sunamganj,Sylhet division,STEM,Yes,Public
No Link,Bogura Science and Technology University,BSTU,2020,Bogura,Rajshahi division,STEM,Yes,Public
No Link,Lakshmipur Science and Technology University,LSTU,2020,Lakshmipur,Chittagong division,STEM,Yes,Public
